paso,objeto,x,y,zoom,pregunta,respuesta,boton_capa1,archivo_capa1,boton_capa2,archivo_capa2,página
#,id_objeto de la pestaña objetos / objects,Posición horizontal 0-1 (0.5 = centro),Posición vertical 0-1 (0.5 = centro),1.0 = imagen completa,Encabezado para este paso,Texto breve de 1-2 oraciones,"Texto opcional del botón (predeterminado: ""Saber más"")","Contenido del panel: escribe texto aquí, pega markdown, o indica ruta a archivo .md (ej. tu-historia/archivo.md)","Texto opcional del segundo botón (predeterminado: ""Profundizar más"")","Segundo panel: escribe texto aquí, pega markdown, o indica ruta a archivo .md",
2,atlas-allegory,0.477,0.125,8.9,Observa la cabeza,España aparece como la cabeza de este proyecto imperial.,Sobre las coordenadas,"Este paso hace zoom a **x=0.477, y=0.125, zoom=8.9**. Los valores de x e y (0-1) ubican la vista dentro de la imagen. El valor de zoom magnifica el detalle.,

Natalie Cobo usa esta técnica para dirigir la atención hacia detalles que sostienen su argumento. Cada elección de coordenadas sirve a la narrativa; aquí, el zoom extremo enfatiza la posición simbólica de España como la ""cabeza"" del imperio.,

**En tu hoja o CSV de Google:**,
- Cambia x/y para desplazarte a otras partes de la imagen,
- Aumenta el zoom para ver más detalle,
- Cada paso puede mostrar una vista distinta de la misma imagen",,,
3,atlas-allegory,0.486,0.277,10,Fíjate en el collar,La cadena está hecha de barcos: fueron las invasiones de ultramar las que ampliaron el mundo hispánico de la temprana modernidad.,Guiar la atención,tu-historia/guiar-atencion.md,,,
4,atlas-allegory,0.504,0.415,2.9,Mira a América,La masa continental americana forma un manto indefinido que cubre a la figura alegórica.,Construir un argumento,"El arco narrativo de Cobo muestra cómo esta imagen prioriza la **conexión sobre el territorio**. Observa su recorrido:,

1. Cabeza (España) con zoom extremo,
2. Collar (comercio/invasión) con zoom extremo,
3. Américas (obstáculo) con zoom moderado,

La secuencia de coordenadas crea el argumento. Las Américas aparecen ""indefinidas"": nebulosas, poco claras. Esto prepara a las personas lectoras para el contraste con Filipinas en el siguiente paso.,

**En narrativa:**,
- Cada paso se apoya en el anterior,
- Las coordenadas sostienen tu tesis,
- Los niveles de zoom crean énfasis y comparación",,,
5,atlas-allegory,0.478,0.883,10,Las Filipinas,"En contraste con el manto fluido americano, las islas Filipinas dan forma concreta a los pies de la figura.",Retórica visual,tu-historia/retorica-visual.md,,,
6,atlas-allegory,0.5,0.5,1,Rutas comerciales,"Esta figura alegórica no se define por masas de tierra sino por rutas marítimas. La conexión, no el territorio, mantiene unido este cuerpo.",La revelación,tu-historia/la-revelacion.md,Presentación progresiva,tu-historia/presentacion-progresiva.md,
7,atlas-allegory,0.516,0.974,10,El rey,Carlos III implementó reformas centralizadoras que buscaron convertir a los reinos coloniales en entidades subordinadas cuya función era proveer riqueza a la metrópoli.,El lugar del gobernante,"Tras explorar el cuerpo de la figura alegórica —de la cabeza (España), pasando por el collar (barcos), hasta los pies (Filipinas)—, ¿dónde está el gobernante?,

Este paso hace zoom a **x=0.516, y=0.974, zoom=10**, la parte más baja de la imagen. Carlos III, el rey, queda comprimido en un pequeño medallón, apenas visible.,

La elección de coordenadas de Natalie Cobo deja claro su argumento: la imagen muestra la conexión (rutas y redes comerciales) como más importante que el territorio o la soberanía. El rey queda en el margen de esta visión del imperio.,

**Antes de la comparación con el Leviatán:**,

Este detalle prepara el contraste con el frontispicio del Leviatán en el siguiente paso. Observa cómo la coordenada (zoom extremo en la parte inferior) enfatiza lo que NO es protagonista en esta imagen: el gobernante.",,,
8,atlas-allegory,0.486,0.177,3.6,Leviatán,"La tesis política de Hobbes muestra lo contrario: el gobernante como contenedor de toda la sociedad, con personas indistintas e intercambiables.",Uso de múltiples imágenes,tu-historia/multiples-imagenes.md,,,
9,atlas-allegory,0.5,0.5,1,Un desafío para el rey,"Nuestra figura alegórica no tiene forma más allá de la conexión, y el gobernante queda arrinconado en la parte inferior. Esta imagen fue producida en Manila por el grabador filipino Laureano Atlas como frontispicio de la tesis de Vicente de Memije. En contexto, funciona como un desafío polémico a las reformas centralizadoras de Carlos III. Esta narrativa muestra cómo la exploración visual puede construir argumentos académicos.",¿Qué sigue?,tu-historia/que-sigue.md,,,
10,leviathan,0.486,0.177,3.6,Leviatán,"La tesis política de Hobbes muestra lo contrario: el gobernante como contenedor de toda la sociedad, con personas indistintas e intercambiables.",Uso de múltiples imágenes,tu-historia/multiples-imagenes.md,,,
,atlas-allegory,0.5,0.5,1,Un desafío para el rey,"Nuestra figura alegórica no tiene forma más allá de la conexión, y el gobernante queda arrinconado en la parte inferior. Esta imagen fue producida en Manila por el grabador filipino Laureano Atlas como frontispicio de la tesis de Vicente de Memije. En contexto, funciona como un desafío polémico a las reformas centralizadoras de Carlos III. Esta narrativa muestra cómo la exploración visual puede construir argumentos académicos.",¿Qué sigue?,tu-historia/que-sigue.md,,,
